cite_key,author,year,title,tier,final_score,venue_tier,recency_score,citation_score,relevance_score,rigor_score,domain,doi
hongjinsu2024evor,Hongjin Su and Shuyang Jiang and Yuhang Lai and Haoyuan Wu and Boao Shi and Che Liu and Qian Liu and Tao Yu,2024,EvoR: Evolving Retrieval for Code Generation,Discard,3.05,2.0,0.8,0.5,0.0,0.4,cs,10.18653/v1/2024.findings-emnlp.143
yichengtao2025retrievalaugmented,Yicheng Tao and Yuante Li and Yao Qin and Yepang Liu,2025,Retrieval-Augmented Code Generation: A Survey with Focus on Repository-Level Approaches,Discard,3.25,2.0,0.9,0.5,0.0,0.4,cs,10.48550/arXiv.2510.04905
fengjizhang2023repocoder,Fengji Zhang and Bei Chen and Yue Zhang and Jacky Keung and Jin Liu and Daoguang Zan and Yi Mao and Jian-Guang Lou and Weizhu Chen,2023,RepoCoder: Repository-Level Code Completion through Iterative Retrieval and Generation,Discard,2.85,2.0,0.7,0.5,0.0,0.4,cs,10.18653/v1/2023.emnlp-main.151
zorazhiruowang2025coderagbench,Zora Zhiruo Wang and Akari Asai and Xinyan Velocity Yu and Frank F. Xu and Yiqing Xie and Graham Neubig and Jianfeng Gao,2025,CodeRAG-Bench: Can Retrieval Augment Code Generation?,Discard,3.25,2.0,0.9,0.5,0.0,0.4,cs,10.48550/arXiv.2406.14497
dishashrivastava2023repofusion,Disha Shrivastava and Denis Kocetkov and Harm de Vries and Dzmitry Bahdanau and Torsten Scholak,2023,RepoFusion: Training Code Models to Understand Your Repository,Discard,2.85,2.0,0.7,0.5,0.0,0.4,cs,10.48550/arXiv.2306.10998
mdrizwanparvez2021retrieval,Md Rizwan Parvez and Wasi Ahmad and Saikat Chakraborty and Baishakhi Ray and Kai-Wei Chang,2021,Retrieval Augmented Code Generation and Summarization,Discard,2.45,2.0,0.5,0.5,0.0,0.4,cs,10.18653/v1/2021.findings-emnlp.229
carlose.jimenez2023swebench,Carlos E. Jimenez and John Yang and Alexander Wettig and Shunyu Yao and Kexin Pei and Ofir Press and Karthik Narasimhan,2023,SWE-bench: Can Language Models Resolve Real-World GitHub Issues?,Discard,3.45,2.0,0.7,0.5,0.0,0.8,cs,10.48550/arXiv.2310.06770
johnyang2024sweagent,John Yang and Carlos E. Jimenez and Alexander Wettig and Kilian Lieret and Shunyu Yao and Karthik Narasimhan and Ofir Press,2024,SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering,Discard,3.05,2.0,0.8,0.5,0.0,0.4,cs,10.48550/arXiv.2405.15793
noahshinn2024reflexion,Noah Shinn and Federico Cassano and Ashwin Gopinath and Karthik Narasimhan and Shunyu Yao,2024,Reflexion: Language Agents with Verbal Reinforcement Learning,Discard,3.05,2.0,0.8,0.5,0.0,0.4,cs,10.48550/arXiv.2303.11366
markchen2021evaluating,Mark Chen and Jerry Tworek and Heewoo Jun and Qiming Yuan and Henrique Ponde de Oliveira Pinto and Jared Kaplan and Harri Edwards and Yuri Burda and Nicholas Joseph and Greg Brockman and others,2021,Evaluating Large Language Models Trained on Code,Discard,2.45,2.0,0.5,0.5,0.0,0.4,cs,10.48550/arXiv.2107.03374
shuyanzhou2022docprompting,Shuyan Zhou and Uri Alon and Frank F. Xu and Zhengbao Jiang and Graham Neubig,2022,DocPrompting: Generating Code by Retrieving the Docs,Discard,2.65,2.0,0.6,0.5,0.0,0.4,cs,10.48550/arXiv.2207.05987
yuxiangwei2023magicoder,Yuxiang Wei and Zhe Wang and Jiawei Liu and Yifeng Ding and Lingming Zhang,2023,Magicoder: Source Code Is All You Need,Discard,2.85,2.0,0.7,0.5,0.0,0.4,cs,10.48550/arXiv.2312.02120
tianyuzheng2024opencodeinterpreter,Tianyu Zheng and Ge Zhang and Tianhao Shen and Xueling Liu and Bill Yuchen Lin and Jie Fu and Wenhu Chen and Xiang Yue,2024,OpenCodeInterpreter: Integrating Code Generation with Execution and Refinement,Discard,3.05,2.0,0.8,0.5,0.0,0.4,cs,10.48550/arXiv.2402.14658
yunfangao2024retrievalaugmented,Yunfan Gao and Yun Xiong and Xinyu Gao and Kangzhuo Jia and Jinzhou Pan and Yandong Bi and Yi Dai and Jiawei Sun and Meng Wang and Haoyu Wang,2024,Retrieval-Augmented Generation for Large Language Models: A Survey,Discard,3.05,2.0,0.8,0.5,0.0,0.4,cs,10.48550/arXiv.2312.10997
